gene_id_a	gene_symbol_a	gene_id_b	gene_symbol_b
3064	HTT_(wt)	4982	TNFRSF11B
3064	HTT_(wt)	5023	P2RX1
3064	HTT_(wt)	5033	P4HA1
3064	HTT_(wt)	5037	PEBP1
3064	HTT_(wt)	5062	PAK2
3064	HTT_(wt)	5119	CHMP1A
3064	HTT_(wt)	5136	PDE1A
3064	HTT_(wt)	5155	PDGFB
3064	HTT_(wt)	5160	PDHA1
3064	HTT_(wt)	5164	PDK2
3064	HTT_(wt)	5191	PEX7
3064	HTT_(wt)	5217	PFN2
3064	HTT_(wt)	5250	SLC25A3
3064	HTT_(wt)	5289	PIK3C3
3064	HTT_(wt)	5290	PIK3CA
3064	HTT_(wt)	5295	PIK3R1
3064	HTT_(wt)	5296	PIK3R2
3064	HTT_(wt)	5315	PKM2
3064	HTT_(wt)	5319	PLA2G1B
3064	HTT_(wt)	5337	PLD1
3064	HTT_(wt)	5367	PMCH
3064	HTT_(wt)	5465	PPARA
3064	HTT_(wt)	5467	PPARD
3064	HTT_(wt)	5468	PPARG
3064	HTT_(wt)	5476	CTSA
3064	HTT_(wt)	5493	PPL
3064	HTT_(wt)	5499	PPP1CA
3064	HTT_(wt)	5501	PPP1CC
3064	HTT_(wt)	5515	PPP2CA
3064	HTT_(wt)	5519	PPP2R1B
3064	HTT_(wt)	5520	PPP2R2A
3064	HTT_(wt)	5529	PPP2R5E
3064	HTT_(wt)	5557	PRIM1
3064	HTT_(wt)	5580	PRKCD
3064	HTT_(wt)	5581	PRKCE
3064	HTT_(wt)	5621	PRNP
3064	HTT_(wt)	5630	PRPH
3064	HTT_(wt)	5663	PSEN1
3064	HTT_(wt)	5682	PSMA1
3064	HTT_(wt)	5685	PSMA4
3064	HTT_(wt)	5688	PSMA7
3064	HTT_(wt)	5689	PSMB1
3064	HTT_(wt)	5690	PSMB2
3064	HTT_(wt)	5691	PSMB3
3064	HTT_(wt)	5694	PSMB6
3064	HTT_(wt)	5696	PSMB8
3064	HTT_(wt)	5702	PSMC3
3064	HTT_(wt)	5709	PSMD3
3064	HTT_(wt)	5710	PSMD4
3064	HTT_(wt)	5713	PSMD7
3064	HTT_(wt)	5717	PSMD11
3064	HTT_(wt)	5727	PTCH1
3064	HTT_(wt)	5730	PTGDS
3064	HTT_(wt)	5747	PTK2
3064	HTT_(wt)	5753	PTK6
3064	HTT_(wt)	5764	PTN
3064	HTT_(wt)	5818	PVRL1
3064	HTT_(wt)	5859	QARS
3064	HTT_(wt)	5861	RAB1A
3064	HTT_(wt)	5869	RAB5B
3064	HTT_(wt)	5874	RAB27B
3064	HTT_(wt)	5879	RAC1
3064	HTT_(wt)	5886	RAD23A
3064	HTT_(wt)	5894	RAF1+PKC-alpha WT
3064	HTT_(wt)	5901	RAN
3064	HTT_(wt)	5905	RANGAP1
3064	HTT_(wt)	5908	RAP1B
3064	HTT_(wt)	5913	RAPSN
3064	HTT_(wt)	5921	RASA1
3064	HTT_(wt)	5954	RCN1
3064	HTT_(wt)	5962	RDX
3064	HTT_(wt)	6124	RPL4
3064	HTT_(wt)	6125	RPL5
3064	HTT_(wt)	6128	RPL6
3064	HTT_(wt)	6137	RPL13
3064	HTT_(wt)	6138	RPL15
3064	HTT_(wt)	6141	RPL18
3064	HTT_(wt)	6143	RPL19
3064	HTT_(wt)	6146	RPL22
3064	HTT_(wt)	6155	RPL27
3064	HTT_(wt)	6159	RPL29
3064	HTT_(wt)	6160	RPL31
3064	HTT_(wt)	6187	RPS2
3064	HTT_(wt)	6188	RPS3
3064	HTT_(wt)	6193	RPS5
3064	HTT_(wt)	6198	RPS6KB1
3064	HTT_(wt)	6206	RPS12
3064	HTT_(wt)	6223	RPS19
3064	HTT_(wt)	6233	RPS27A
3064	HTT_(wt)	6237	RRAS
3064	HTT_(wt)	6252	RTN1
3064	HTT_(wt)	6258	RXRG
3064	HTT_(wt)	6286	S100P
3064	HTT_(wt)	6320	CLEC11A
3064	HTT_(wt)	6337	SCNN1A
3064	HTT_(wt)	6383	SDC2
3064	HTT_(wt)	6386	SDCBP
3064	HTT_(wt)	6396	SEC13
3064	HTT_(wt)	6453	ITSN1
3064	HTT_(wt)	6455	SH3GL1
3064	HTT_(wt)	6456	SH3GL2
3064	HTT_(wt)	6457	SH3GL3
3064	HTT_(wt)	6477	SIAH1
3064	HTT_(wt)	6506	SLC1A2
3064	HTT_(wt)	6509	SLC1A4
3064	HTT_(wt)	6529	SLC6A1
3064	HTT_(wt)	6557	SLC12A1
3064	HTT_(wt)	6598	SMARCB1
3064	HTT_(wt)	6601	SMARCC2
3064	HTT_(wt)	6602	SMARCD1
3064	HTT_(wt)	6606	SMN1
3064	HTT_(wt)	6612	SUMO3
3064	HTT_(wt)	6613	SUMO2
3064	HTT_(wt)	6616	SNAP25
3064	HTT_(wt)	6622	SNCA
3064	HTT_(wt)	6633	SNRPD2
3064	HTT_(wt)	6636	SNRPF
3064	HTT_(wt)	6640	SNTA1
3064	HTT_(wt)	6643	SNX2
3064	HTT_(wt)	6647	SOD1
3064	HTT_(wt)	6667	SP1
3064	HTT_(wt)	6689	SPIB
3064	HTT_(wt)	6720	SREBF1
3064	HTT_(wt)	6726	SRP9
3064	HTT_(wt)	6737	TRIM21
3064	HTT_(wt)	6741	SSB
3064	HTT_(wt)	6767	ST13
3064	HTT_(wt)	6770	STAR
3064	HTT_(wt)	6801	STRN
3064	HTT_(wt)	6804	STX1A
3064	HTT_(wt)	6810	STX4
3064	HTT_(wt)	6812	STXBP1
3064	HTT_(wt)	6813	STXBP2
3064	HTT_(wt)	6814	STXBP3
3064	HTT_(wt)	6829	SUPT5H
3064	HTT_(wt)	6837	MED22
3064	HTT_(wt)	6843	VAMP1
3064	HTT_(wt)	6844	VAMP2
3064	HTT_(wt)	6855	SYP
3064	HTT_(wt)	6857	SYT1
3064	HTT_(wt)	6867	TACC1
3064	HTT_(wt)	6888	TALDO1
3064	HTT_(wt)	6908	TBP
3064	HTT_(wt)	6925	TCF4
3064	HTT_(wt)	6950	TCP1
3064	HTT_(wt)	7003	TEAD1
